id,url,media,scope,title,system,purpose,started,duration,language,direction,isPrivate,scheduled,customData,meetingUrl,workspaceId,primaryUserId,clientUniqueId,sdrDisposition,calendarEventId,_airbyte_raw_id,_airbyte_extracted_at,_airbyte_generation_id,_airbyte_meta
1002571858066844605,https://us-40286.app.gong.io/call?id=1002571858066844605,Video,External,Shah Soma and Guirae Jang,Zoom,,2025-03-19 20:32:20+00:00,1602,eng,Conference,false,2025-03-19 20:30:00+00:00,,https://us02web.zoom.us/j/88021078701?pwd=vxbEQSY2LPtDhYqtmjVfgVOFmpVqbV.1,744453200303192064,7032369766157375387,,,7i7v9cfdge7kskia4jgu1udp4o@google.com,f8d84ff3-60a4-4f69-a9c8-5f75615478f1,2025-03-31 06:22:37+00:00,31,"{""changes"":[],""sync_id"":10}"
1008893033710615906,https://us-40286.app.gong.io/call?id=1008893033710615906,Video,External,Discovery: Dallas Digital Services & CIENCE,Zoom,,2025-03-27 15:02:02+00:00,188,und,Conference,false,2025-03-27 15:00:00+00:00,,https://us02web.zoom.us/j/81194360892,744453200303192064,7032369766157375387,,,5wUtDG4WSPQQrgME3M7uSQ@Schedule,19f061e6-4b4c-42ff-95c7-95ec36b114da,2025-03-31 06:22:38+00:00,31,"{""changes"":[],""sync_id"":10}"
1011717907644507975,https://us-40286.app.gong.io/call?id=1011717907644507975,Video,External,E1 Consulting | CIENCE - Proposal Discussion Document & SOW,Zoom,,2024-09-09 18:02:04+00:00,3010,eng,Conference,false,2024-09-09 18:00:00+00:00,,https://us02web.zoom.us/j/89933558188?pwd=kbmZhF3VvWpOsz79BmNDh1oZdr1fq5.1,744453200303192064,6598059789616381331,,,7kneglg73v0eoucja8s49v4pq8@google.com,c6b43ecb-a8f7-47e1-b2c9-44fc6910d555,2025-03-31 06:22:34+00:00,31,"{""changes"":[],""sync_id"":10}"
1011889607553762287,https://us-40286.app.gong.io/call?id=1011889607553762287,Video,External,Update call | Borg & Saul (phone call or zoom ),Zoom,,2025-02-18 21:03:38+00:00,383,eng,Conference,false,2025-02-18 21:00:00+00:00,,https://us02web.zoom.us/j/85684481488?pwd=KEUKLrohS2uSRnby7ypJiS6RPG96li.1,744453200303192064,5983995612867490791,,,2h563nnif0m9rc54cp2cqd3792@google.com,089f58dc-e528-4d7d-b09b-7648aeea7d07,2025-03-31 06:22:37+00:00,31,"{""changes"":[],""sync_id"":10}"
1025760628810449158,https://us-40286.app.gong.io/call?id=1025760628810449158,Video,External,Discovery: Exed Consulting & CIENCE,Zoom,,2025-02-12 19:31:35+00:00,2360,eng,Conference,false,2025-02-12 19:30:00+00:00,,https://us02web.zoom.us/j/81300558211,744453200303192064,6878489804409404210,,,9zRWMmeR6pSsmBagw43F3Y@Schedule,a95f97ac-976d-4ed4-b2d3-274dc916696b,2025-03-31 06:22:37+00:00,31,"{""changes"":[],""sync_id"":10}"
1026604382375142334,https://us-40286.app.gong.io/call?id=1026604382375142334,Video,External,CIENCE<>Code.org,Zoom,,2025-03-26 15:30:53+00:00,2003,eng,Conference,false,2025-03-26 15:30:00+00:00,,https://us02web.zoom.us/j/82544039071?pwd=A9L2jGqoapWyFTKMdaVGXoSBMEOgjj.1,744453200303192064,1404213034993234254,,,50u9hum2c3hq3l1as6migkuqg5_R20250326T153000@google.com_2025-03-26T15:30:00Z,a7362924-bfbf-449a-a04c-e211a9acb84a,2025-03-31 06:22:38+00:00,31,"{""changes"":[],""sync_id"":10}"
1033687916715944454,https://us-40286.app.gong.io/call?id=1033687916715944454,Video,External,Discovery: Pepper Square & CIENCE,Zoom,,2024-09-04 15:33:37+00:00,2028,eng,Conference,false,2024-09-04 15:30:00+00:00,,https://us02web.zoom.us/j/82356273731?pwd=bSjm6RHAD9Cw1FnyPBZirc17vabTRa.1,744453200303192064,6598059789616381331,,,msxbTrA8L5UoDuf19B9kth@Go Schedule,3a578b5b-82ee-492e-bc29-13347189a193,2025-03-31 06:22:34+00:00,31,"{""changes"":[],""sync_id"":10}"
1042139530775971165,https://us-40286.app.gong.io/call?id=1042139530775971165,Video,External,Discovery: AnswerNet & CIENCE,Zoom,,2024-11-21 15:32:35+00:00,1564,eng,Conference,false,2024-11-21 15:30:00+00:00,,https://us02web.zoom.us/j/4623760010?omn=87858835134,744453200303192064,7167065801904145986,,,1a37s19cqd0mvdu0g8vor9cfd8@google.com,07ca45dd-2dbd-4a54-b854-5c3081ea1cbf,2025-03-31 06:22:36+00:00,31,"{""changes"":[],""sync_id"":10}"
1056281282652726803,https://us-40286.app.gong.io/call?id=1056281282652726803,Video,External,Discovery: Firmbase & CIENCE,Zoom,,2024-10-15 15:02:25+00:00,1376,eng,Conference,false,2024-10-15 15:00:00+00:00,,https://us02web.zoom.us/j/81296640990,744453200303192064,7273330574278209449,,,3LSQWVY7yXoU26PkxBeC1T@Schedule,1ab0df87-4766-40ac-903c-3f8b0eb83b1b,2025-03-31 06:22:35+00:00,31,"{""changes"":[],""sync_id"":10}"
1075010748488931128,https://us-40286.app.gong.io/call?id=1075010748488931128,Video,External,Nisha Yadav and Guirae Jang,Zoom,,2024-12-18 16:01:12+00:00,2597,eng,Conference,false,2024-12-18 16:00:00+00:00,,https://us02web.zoom.us/j/83008609549,744453200303192064,5983995612867490791,,,m3l087q2kuu4bvc4or7sar8ljs@google.com,16338c3c-e523-4031-9e95-ef7307ea54b4,2025-03-31 06:22:36+00:00,31,"{""changes"":[],""sync_id"":10}"
